tool_name,paper_title,year,doi,pmid,paper_url,repo_url,official_url,license,task_type,input_type,output_type,hla_support,mhc_class,requires_gpu,requires_external_service,language,python_version,last_repo_update,training_dataset,training_dataset_public,pretrained_model_public,installation_status,candidate_for_benchmark,evidence_note,accessed_at,notes
nextNEOpi,nextNEOpi: a comprehensive pipeline for computational neoantigen prediction,2022,10.1093/bioinformatics/btab759,34788790,https://doi.org/10.1093/bioinformatics/btab759,https://github.com/icbi-lab/nextNEOpi,https://github.com/icbi-lab/nextNEOpi,unclear,end-to-end workflow,"WES/WGS and RNA-seq",ranked candidates,broad,I and II,no,yes,Nextflow,not_applicable,2025-06-06,multiple external tools,not_applicable,not_applicable,not_attempted,no,"Official repository recommends containers/conda and documents substantial storage and memory requirements plus licensed components.",2026-08-20,"Reproducibility-profile candidate; projected full run exceeds cheap pilot."
Seq2Neo,Seq2Neo: A Comprehensive Pipeline for Cancer Neoantigen Immunogenicity Prediction,2022,10.3390/ijms231911624,36232923,https://doi.org/10.3390/ijms231911624,https://github.com/XSLiuLab/Seq2Neo,https://github.com/XSLiuLab/Seq2Neo,AFL-3.0,end-to-end workflow,sequencing data,ranked candidates,broad,I and II,unknown,yes,Python,unknown,2023-02-17,multiple component datasets,partial,partial,not_attempted,no,"Official repository describes an end-to-end pipeline and recommends conda.",2026-08-20,"Reproducibility-profile candidate; not a direct peptide-only model."
NeoFox,NeoFox: annotating neoantigen candidates with neoantigen features,2021,10.1093/bioinformatics/btab344,33970219,https://doi.org/10.1093/bioinformatics/btab344,https://github.com/TRON-Bioinformatics/neofox,https://neofox.readthedocs.io/,GPL-3.0,feature annotation and prioritization,mutated peptide candidates,annotated features and scores,broad,I and II,no,optional services,Python,unknown,2026-01-27,rule and model specific,partial,partial,not_attempted,pending,"Official repository remains active and annotates supplied peptide candidates rather than calling variants.",2026-08-20,"Could enter an extended ranking track if input features are available consistently."
NeoRanking,Machine-learning prioritization of neoantigens,unknown,unknown,unknown,unknown,https://github.com/bassanilab/NeoRanking,https://github.com/bassanilab/NeoRanking,unknown,ranking,feature matrices,ranked candidates,unknown,I,unknown,no,Python,unknown,2023-12-07,"131-patient feature matrices",unknown,unknown,not_attempted,pending,"Official repository states that classifiers rank neoantigens from feature matrices for 131 patients; paper metadata remains unverified.",2026-08-20,"Retain as pending until a citable method and license are verified."
NeoGuider,NeoGuider: neoepitope prediction using advanced feature engineering,2025,10.1186/s13073-025-01592-9,41437280,https://doi.org/10.1186/s13073-025-01592-9,https://github.com/XuegongLab/neoguider,https://github.com/XuegongLab/neoguider,AGPL-3.0,end-to-end ranking,multi-omics candidate features,ranked candidates,broad,I,unknown,yes,Python,unknown,2026-02-26,"NCI train data and multi-cohort data",partial,yes,not_attempted,pending,"Paper reports evaluation on 7 cohorts, 113 patients, and 635 immunogenic candidates; official code is public.",2026-08-20,"High-priority post-pilot candidate; training/evaluation overlap requires detailed audit."
mhcmatch,Ultrafast MHC binding prediction and immunogenicity scoring,2026,unknown,unknown,unknown,https://github.com/antigenomics/mhcmatch,https://github.com/antigenomics/mhcmatch,GPL-3.0,binding and heuristic immunogenicity,"peptide, HLA",scores and ranks,broad,I and II,no,no,Python,unknown,2026-08-20,"public binding and benchmark datasets",partial,yes,not_attempted,pending,"Official repository advertises a separate 2026 benchmark against NetMHCpan including TESLA-608; no peer-reviewed method paper was identified.",2026-08-20,"Exploratory only until method provenance and independent validation are established."
antigen.garnish,Neoantigen Dissimilarity to the Self-Proteome Predicts Immunogenicity and Response to Immune Checkpoint Blockade,2019,10.1016/j.cels.2019.08.009,31606370,https://doi.org/10.1016/j.cels.2019.08.009,https://github.com/andrewrech/antigen.garnish,https://github.com/andrewrech/antigen.garnish,unclear,annotation and ranking,"VCF or transcript-level mutation",annotated candidates,broad,I and II,no,yes,R,unknown,2022-07-07,IEDB similarity and predictor features,partial,partial,not_attempted,no,"Official repository is available but has not been pushed since 2022 and relies on external prediction components.",2026-08-20,"Reproducibility-profile candidate; output and inputs exceed core peptide-HLA track."
CloudNeo,CloudNeo: a cloud pipeline for identifying patient-specific tumor neoantigens,2017,10.1093/bioinformatics/btx375,28605406,https://doi.org/10.1093/bioinformatics/btx375,https://github.com/TheJacksonLaboratory/CloudNeo,https://github.com/TheJacksonLaboratory/CloudNeo,Apache-2.0,end-to-end workflow,"VCF, BAM",ranked candidates,broad,I,no,yes,CWL,not_applicable,2019-04-19,not_applicable,not_applicable,no,not_attempted,no,"Official repository has not been pushed since 2019 and uses external NetMHCpan.",2026-08-20,"Strong dependency-rot case for the reproducibility profile, not the score benchmark."
NeoFuse,NeoFuse: predicting fusion neoantigens from RNA sequencing data,2020,10.1093/bioinformatics/btz879,31755900,https://doi.org/10.1093/bioinformatics/btz879,https://github.com/icbi-lab/NeoFuse,https://github.com/icbi-lab/NeoFuse,GPL-3.0,fusion neoantigen workflow,RNA-seq FASTQ,ranked fusion neoantigens,broad,I,unknown,yes,Shell,not_applicable,2026-06-22,multiple component predictors,not_applicable,not_applicable,not_attempted,no,"Official repository is active and specifically addresses fusion-derived candidates.",2026-08-20,"Out of core SNV MHC-I benchmark scope; retain in landscape."

